smiles,electronic_energy (Hartree),HOMO_LUMO_gap (eV),dipole_moment (Debye),crystal_density (g/cc),heat_of_formation (kcal/mol)
CC(O)c1[nH]oc(=N)c1[N+](=O)[O-],0.61765608637403,-0.03425925520296623,1.185750565351646,0.47496417217284015,0.12424347109388197
O=c1nccnc([N+](=O)[O-])c1O,0.6345844508491865,-0.5859475794473554,-0.5048252084709193,0.8214382287015591,0.3397391417301687
COCc1cnc([N+](=O)[O-])n1O,0.6177690652445201,0.7583472261403927,2.0291862130506595,-0.9259961433563193,0.2708693913206338
Nc1c(CO)oc([N+](=O)[O-])c1N,0.6172912708285262,0.0010231376266163679,0.5808833281929371,0.023041489744078478,-0.25191699362213765
Cc1c([N+](=O)[O-])oc(N)nc1=O,0.6256514573977406,-0.06241389190536121,-0.3767490410731951,0.98714321225877,-0.23090040312157536
O=C1N=NC(=CO)C=C1[N+](=O)[O-],0.6347238845723884,-1.294802926296251,1.3661833611495198,1.6348990570733302,0.43584180419775237
C=Nn1ccc(=O)c([N+](=O)[O-])n1,0.7750441788220679,-0.0014715770178999376,0.9622964267834606,-0.534329818584726,1.04227734835368
Nc1cc(=O)[nH]c([N+](=O)[O-])c1O,0.6254744492154874,-1.6105625227307006,0.21379421284396352,1.7252835935590791,-0.38796682314538067
O=c1ccc([N+](=O)[O-])ncc1O,0.7476206795933061,-0.6287141162104863,-0.8531449664688955,-0.3083684773703434,0.09322444372481385
C#Cc1cnc(=O)oc1[N+](=O)[O-],0.756650765452589,-0.807977182809277,0.16084486789588787,0.21887465212987686,0.6142272867442126
C=Cc1onc(NO)c1[N+](=O)[O-],0.6265410583709916,-0.4426796812908671,-1.3332947633347956,-0.4891375503418481,0.662779261324916
Cc1cnc([N+](=O)[O-])nnc1=O,0.7751105640364631,-1.1037790620875991,0.5310457451214738,-1.0163806798420716,1.1075591547770147
COc1c[nH]c([N+](=O)[O-])nc1=O,0.625816403753757,-1.1080557157639126,0.5080779788893328,0.7611818710443908,-0.06261122807116704
Cc1nnc([N+](=O)[O-])nc1CO,0.766238035694176,0.25797874601176096,0.43917468019290956,-1.5285597199280017,0.6274213249492802
O=CC(O)c1cc([N+](=O)[O-])[nH]n1,0.6259185199228076,0.4636145102811493,-0.9622048112873204,-0.5042016397561417,0.05387179064361204
CN=c1[nH]c(=O)[nH]cc1[N+](=O)[O-],0.7657979717152088,0.01634781330007201,-1.1076179377118867,-0.5493939079990163,0.23682564373064108
O=CCNc1c[nH]nc1[N+](=O)[O-],0.7661884170534549,-0.30974702951880184,0.06383692621862976,-0.36862483502751164,0.561868336713035
O=COc1ccnc([N+](=O)[O-])c1,0.7474177282507948,1.1158041959188958,0.8696844661699885,-0.3384966561989275,-0.09894959100117148
CC=COc1noc([N+](=O)[O-])n1,0.6263008565236848,-1.2388500406978211,-0.42545058409446623,-1.618944256413754,0.46279310437316334
CNn1c([N+](=O)[O-])cc(O)c1O,0.6175032688936066,-0.6900128189043078,0.3247309933974883,-0.08240713615596423,0.017637728410880835
NN=CCc1ocnc1[N+](=O)[O-],0.7662939576801353,0.007794505947445011,-0.06601739082287335,-1.4231110940279554,0.6760671701575296
C=C(CN)c1onnc1[N+](=O)[O-],0.7665626018642188,0.05590685980596811,0.490494054634188,-1.7243928823137966,0.9683281539869374
Cc1ncn(OC=O)c1[N+](=O)[O-],0.6260995341276303,0.69205909415754,-0.671032807118564,-0.5192657291704321,0.25521385665991714
N#CC#Cc1coc([N+](=O)[O-])n1,0.9054780116653076,0.1966800433179407,-0.44535598149565525,-0.42888119268467984,1.275232955713511
O=c1cc([N+](=O)[O-])c(O)cnn1,0.6349539845519987,-0.8899463782719444,-0.46224840311155246,0.8666304969444336,0.6587323942707135
Nn1cc2c(c1[N+](=O)[O-])OC2=O,0.6350207487717001,0.40017748074917175,0.06877623078468151,1.258296821716027,0.7261627950578774
O=[N+]([O-])c1cc2cnoc2nn1,0.7836062474730133,0.2861333827141559,0.13585198679166544,1.4089377158589476,1.216782844961575
O=[N+]([O-])c1ncc2c(n1)OCO2,0.6344022833954418,0.6172176548220613,1.329434935178094,1.996437203016336,0.13110645697446263
CCOc1cc([N+](=O)[O-])nnn1,0.7663760557346418,0.039869408519793356,0.6384756194331017,-2.1311232964996805,0.7995696257987993
Nc1c[nH]c(=O)c(O)c1[N+](=O)[O-],0.6255914517531148,-1.5699343128057264,0.5446288326781163,1.1679122852302748,-0.25841492706226193
N=C1N=Cc2cc([N+](=O)[O-])nn21,0.9235731739724822,0.21841969950586484,0.5584588854630613,0.23393874154416724,1.4497593124608603
C#Cc1oc(=N)nnc1[N+](=O)[O-],0.7841198667127616,-0.7085449848349976,-0.5721973227518665,0.29419509920133546,1.6306062914629693
N#CC1Nc2c1n[nH]c2[N+](=O)[O-],0.9240787197639964,0.02276279381454168,-1.4161762939531457,-0.17279167264171658,1.846706906143441
COCc1[nH]c(=N)oc1[N+](=O)[O-],0.6173712945876951,-0.5442502061033032,0.2910943293026751,-1.4231110940279554,-0.10445666781719977
CC1COc2nc([N+](=O)[O-])nn21,0.7661329298296349,0.9889301368549407,2.0155537324483563,-0.35356074561322126,0.507767565037394
C=NN=Cc1nc([N+](=O)[O-])co1,0.7749709453981954,0.2825695046505615,0.13940828607922282,-1.2875342892993287,0.9868415277529413
O=[N+]([O-])c1coc2c(O)c[nH]c12,0.7477727524729882,-1.2883879457817813,-0.861936928596468,1.092591838158816,0.18354884756345877
Cn1nc2c(c1[N+](=O)[O-])C(=O)N2,0.7751136857133178,-0.6868053286470729,-0.2642810761041943,-0.022150778498796014,1.08354913426471
CON=c1occnc1[N+](=O)[O-],0.6264715761821362,-0.7709128509478972,-0.04917436225263676,-1.031444769256362,0.588089532007533
CC(CO)c1nc([N+](=O)[O-])no1,0.6175305735086811,1.1696187546791696,0.6631227492177,-1.649072435242338,0.031123808568313614
Cc1c([N+](=O)[O-])oncc1=NO,0.6266097959591048,-0.7402634996009865,0.20762008213639907,-0.12759940439884207,0.7300427809964428
Cc1oc([N+](=O)[O-])nc(=O)c1N,0.6257729338918642,-1.0902363254459413,1.050166655013523,0.14355420505841493,-0.1101410558185925
CC(=O)c1nc(N)c([N+](=O)[O-])o1,0.6256890847904942,-0.5652770866785087,0.7462018520186923,-0.052278957327380124,-0.17953230971449383
CCc1c([N+](=O)[O-])on(N)c1=O,0.6177275447544278,-0.30796509048700466,-1.065436276717804,-1.4984315410994173,0.2449506680482282
O=[N+]([O-])c1cnnnc1C1CO1,0.7753157957628584,-0.3867267956924373,-1.2384107226209398,-0.35356074561322126,1.2748783333427818
O=[N+]([O-])c1cnn2c1C(O)CN2,0.7663569826631251,0.34636292198889806,-0.3186628193764252,-0.41381710327038945,0.7154511134479135
Cn1[nH]c(=O)c([N+](=O)[O-])c1CO,0.6174079769374222,0.2569095825926829,2.0695897244009633,0.7461177816300971,-0.11280072359906071
NCc1cnnc([N+](=O)[O-])c1O,0.7661591567145355,0.5862119156687909,2.5909333213477357,0.0832978474012467,0.5468177460965032
