smiles,log10h50(exp)
O=[N+]([O-])c1cc([N+](=O)[O-])[n+]([O-])c([N+](=O)[O-])c1,1.3010299956639813
O=C(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])N(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.3222192947339193
O=[N+]([O-])c1cc([N+](=O)[O-])c(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,1.3222192947339193
CC(CN(CCO[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.3222192947339193
CC(CCN(C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.3424226808222062
O=[N+]([O-])N(CC(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.3617278360175928
O=C(NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.3617278360175928
O=C(OC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.380211241711606
O=C(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NC(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.380211241711606
CC(CN(CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.3979400086720377
O=[N+]([O-])c1cnn[nH]1,1.3979400086720377
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,1.414973347970818
O=[N+]([O-])c1cc([N+](=O)[O-])c([N+](=O)[O-])cc1[N+](=O)[O-],1.4313637641589874
Nc1nonc1[N+](=O)[O-],1.4313637641589874
O=C(NCNC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.4313637641589874
O=[N+]([O-])c1c(O)c([N+](=O)[O-])c(O)c([N+](=O)[O-])c1O,1.4313637641589874
COC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.4471580313422192
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,1.462397997898956
O=[N+]([O-])C1([N+](=O)[O-])CN(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1,1.462397997898956
O=C(CN(CCN(CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.462397997898956
CC(CC(CC(C)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.462397997898956
CC(CN(CC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.462397997898956
O=C(CCN(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.462397997898956
O=[N+]([O-])c1cc([N+](=O)[O-])on1,1.462397997898956
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.4771212547196624
O=C(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.4771212547196624
O=[N+]([O-])c1ccc(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,1.4913616938342726
O=C(CCC(CC(CC(CCC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.505149978319906
C[C@@H](CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.5185139398778875
O=[N+]([O-])c1cc([N+](=O)[O-])c(/N=N/c2nc(/N=N/c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1.5185139398778875
O=C(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.5314789170422551
O=[N+]([O-])NCCN[N+](=O)[O-],1.5314789170422551
O=[N+]([O-])NCCC(CCN[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.5440680443502757
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3cc([N+](=O)[O-])c([N+](=O)[O-])cc32)c([N+](=O)[O-])c1,1.5440680443502757
CCN(CC(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.5440680443502757
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2cn(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])nn2)c([N+](=O)[O-])c1,1.5440680443502757
O=[N+]([O-])CCn1c([N+](=O)[O-])nnc1[N+](=O)[O-],1.5440680443502757
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nnn[nH]2)c([N+](=O)[O-])c1,1.5563025007672873
O=Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.5563025007672873
CC(CCN(CC(CN(CCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.568201724066995
CC(CCN(C(=O)C(=O)N(CCC(C)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.568201724066995
O=[N+]([O-])c1nc(-c2nc([N+](=O)[O-])c([N+](=O)[O-])[nH]2)[nH]c1[N+](=O)[O-],1.568201724066995
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1,1.591064607026499
O=[N+]([O-])NCCN(CCN[N+](=O)[O-])[N+](=O)[O-],1.591064607026499
O=[N+]([O-])c1cc([N+](=O)[O-])c(/C=C/c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1.591064607026499
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])c(-c4c([N+](=O)[O-])cc([N+](=O)[O-])cc4[N+](=O)[O-])c3[N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1,1.6020599913279623
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2nnc3c([N+](=O)[O-])cc([N+](=O)[O-])cc32)c([N+](=O)[O-])c1,1.6020599913279623
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])c(/N=N/c3c([N+](=O)[O-])cc([N+](=O)[O-])c(-c4c([N+](=O)[O-])cc([N+](=O)[O-])cc4[N+](=O)[O-])c3[N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1,1.6020599913279623
NC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.6020599913279623
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c2[N+](=O)[O-])c([N+](=O)[O-])c1O,1.6020599913279623
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2cc([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1.6020599913279623
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.6127838567197355
COCCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.6232492903979006
